Time,VOCs,eCO2,Temp
0,0.0473079681396,0.0,406.0,25.0
0,10.1284329891,0.0,406.0,25.0
0,20.2151150703,0.0,406.0,25.0
0,30.3001339436,0.0,406.0,25.0
0,40.3801560402,0.0,400.0,25.0
0,50.4601249695,0.0,400.0,25.0
0,60.5232050419,0.0,406.0,25.0
0,70.6060669422,0.0,400.0,25.0
0,80.6912550926,0.0,400.0,25.0
0,90.7781691551,0.0,400.0,25.0
0,100.860352039,0.0,400.0,25.0
0,110.92319417,0.0,403.0,25.0
0,121.005983114,0.0,400.0,25.0
0,131.091120958,0.0,400.0,25.0
0,141.177175045,0.0,400.0,25.0
0,151.260337114,1.0,408.0,25.0
0,161.340255022,0.0,405.0,25.0
0,171.420129061,1.0,408.0,25.0
0,181.500182152,0.0,405.0,25.0
0,191.580085039,1.0,408.0,25.0
0,201.654531002,1.0,408.0,25.0
0,211.740199089,1.0,408.0,25.0
0,221.820084095,1.0,408.0,25.0
0,231.900172949,1.0,408.0,25.0
0,241.980067968,1.0,408.0,25.0
0,252.060126066,1.0,408.0,25.0
0,262.162158012,1.0,408.0,25.0
0,272.24725914,1.0,408.0,25.0
0,282.33347106,1.0,408.0,25.0
0,292.418725014,1.0,408.0,25.0
0,302.50524497,1.0,408.0,25.0
0,312.606613159,1.0,408.0,25.0
0,322.692111015,1.0,408.0,25.0
